ts,hour,light,temp,pir_count,face_flag,occupied
2026-05-14T21:22:40,21,0.0,1.0,0,0,0
2026-05-14T21:22:45,21,0.0,0.0,0,0,0
2026-05-14T21:22:50,21,0.0,0.0,0,0,0
2026-05-14T21:22:55,21,0.0,0.0,0,0,0
2026-05-14T21:23:00,21,0.0,0.0,0,0,0
2026-05-14T21:23:05,21,0.0,0.0,0,0,0
2026-05-14T21:23:10,21,0.0,0.0,0,0,0
2026-05-14T21:23:15,21,0.0,0.0,0,0,0
2026-05-14T21:23:20,21,0.0,0.0,0,0,0
2026-05-14T21:23:25,21,0.0,0.0,0,0,0
2026-05-14T21:23:30,21,6.0,32.4,1,0,1
2026-05-14T21:23:35,21,10.0,32.5,0,1,1
2026-05-14T21:23:40,21,11.0,32.5,0,0,0
2026-05-14T21:23:45,21,10.0,32.5,0,0,0
2026-05-14T21:23:50,21,9.0,32.5,0,0,0
2026-05-14T21:23:55,21,9.0,32.5,0,0,0
2026-05-14T21:24:00,21,11.0,32.5,0,0,0
2026-05-14T21:24:05,21,11.0,32.5,0,0,0
2026-05-14T21:24:10,21,10.0,32.5,0,0,0
2026-05-14T21:24:15,21,10.0,32.5,0,0,0
2026-05-14T21:24:20,21,10.0,32.5,0,0,0
2026-05-14T21:24:25,21,10.0,32.5,1,1,1
2026-05-14T21:24:30,21,10.0,32.5,0,0,0
2026-05-14T21:24:35,21,11.0,32.5,0,0,0
2026-05-14T21:24:40,21,10.0,32.5,0,0,0
